Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Untitled,Success,10,2,2016-05-02 12:01:03 -0600,2016-05-02 12:55:33 -0600,0:00:00
LoginTest,Failure,29,15,2016-04-13 16:34:26 -0600,2016-05-02 09:11:10 -0600,0:00:00
s,Success,6,0,2016-04-14 09:27:05 -0600,2016-04-29 14:50:59 -0600,0:00:00
Untitled1,Failure,7,3,2016-05-10 12:05:47 -0600,2016-05-10 14:37:14 -0600,0:00:00
