Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
kjjkkj,Success,1,0,2016-11-01 09:52:04 -0600,2016-11-01 09:52:04 -0600,0:00:04
Untitled,Success,2,0,2016-11-01 09:41:41 -0600,2016-11-02 11:02:31 -0600,0:00:03
vbvb,Success,1,0,2016-11-01 09:45:52 -0600,2016-11-01 09:45:52 -0600,0:00:06
NewFolder/Untitled,Failure,2,1,2016-10-31 10:50:56 -0600,2016-10-31 10:57:42 -0600,0:00:01
