Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Untitled4,Success,4,0,2017-01-17 13:29:51 -0700,2017-01-17 13:57:39 -0700,0:00:02
Untitled8,Success,1,0,2017-01-17 13:58:47 -0700,2017-01-17 13:58:47 -0700,0:00:02
