Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Outline,Failure,13,1,2016-06-22 10:13:47 -0600,2016-09-16 13:39:49 -0600,0:00:04
NewConnection,Success,6,1,2016-06-22 09:53:56 -0600,2016-06-22 10:02:08 -0600,0:00:00
