Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Helperafter,Success,1,0,2016-12-05 22:36:41 -0700,2016-12-05 22:36:41 -0700,0:00:00
Nov29,Success,2,0,2016-12-06 10:06:56 -0700,2016-12-06 10:08:46 -0700,0:00:00
