Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
RapidCapture/SutRapidcapture,Success,2,0,2017-01-12 11:41:23 -0700,2017-01-12 11:47:09 -0700,0:01:22
nmmns1,Success,1,0,2017-01-09 15:12:03 -0700,2017-01-09 15:12:03 -0700,0:00:00
reeldlfk'wk'a4,Success,2,0,2016-12-01 11:03:49 -0700,2016-12-01 11:04:00 -0700,0:00:00
ghghg,Success,4,0,2016-12-01 11:09:10 -0700,2016-12-01 11:10:17 -0700,0:00:00
kjkkj,Success,6,1,2016-12-30 15:28:13 -0700,2017-01-04 12:21:53 -0700,0:00:04
hello,Failure,10,7,2016-12-12 10:11:45 -0700,2017-01-11 08:44:00 -0700,0:00:00
._Untitled,Success,2,0,2017-01-11 09:36:35 -0700,2017-01-11 09:36:53 -0700,0:00:00
rapid3,Failure,1,1,2017-01-12 16:25:49 -0700,2017-01-12 16:25:49 -0700,0:00:00
reeldlfk'wk'a,Success,1,0,2017-01-09 13:31:05 -0700,2017-01-09 13:31:05 -0700,0:00:00
