Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
ImageeditStart,Success,1,0,2016-05-20 12:03:28 -0600,2016-05-20 12:03:28 -0600,0:00:00
ImageEdit,Success,3,1,2015-11-10 11:26:58 -0700,2016-05-20 12:02:16 -0600,0:00:13
