Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Untitled1,Success,1,0,2016-06-09 13:53:24 -0600,2016-06-09 13:53:24 -0600,0:00:00
Untitled,Success,1,0,2016-06-09 12:52:03 -0600,2016-06-09 12:52:03 -0600,0:00:00
