Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Untitled1,Success,3,0,2016-11-28 16:43:10 -0700,2016-11-29 16:20:47 -0700,0:00:00
Untitled,Success,2,0,2016-11-29 16:24:43 -0700,2016-11-29 16:25:37 -0700,0:00:01
