2016-12-15 12:39:05.763 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:06.480 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:06.481 -0700	Log		that took 0.71683 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:07.196 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:07.912 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:08.626 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:08.627 -0700	Log		that took 0.714165 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:09.344 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:10.060 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:10.774 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:10.775 -0700	Log		that took 0.713993 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:11.489 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:12.207 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:12.922 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:12.923 -0700	Log		that took 0.715335 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:13.638 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:14.354 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:15.069 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:15.070 -0700	Log		that took 0.714736 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:15.783 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:16.499 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:17.212 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:17.213 -0700	Log		that took 0.713775 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:17.928 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:18.644 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:19.360 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:19.361 -0700	Log		that took 0.716243 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:20.073 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:20.787 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:21.502 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:21.503 -0700	Log		that took 0.7148 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:22.218 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:22.934 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:23.648 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:23.649 -0700	Log		that took 0.714741 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:24.362 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:25.078 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:25.792 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:25.793 -0700	Log		that took 0.713461 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:26.506 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:27.221 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:27.933 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
